turn1,turn2,turn3,label
yaa why should i go to gym with you,im goin around 12,i am going around 20:00,others
u miss me ?,sometimes .,i never miss u,others
u support me,no such thing,i have headache because i don't sleep on time last night now my whole day is got damn,sad
you foolish,hahaa sorry about that . you're not foolish .,you are a bot why don't you do something i say,angry
i am,why ?,i don't want to talk to you bye,angry
ok,how was it ?,you have weird humour sense,others
your confusing me,"who said "" you :) """,stop it,angry
ok .... may i know your details ...,yeah sure x,i think i wasting my time with this nonsense discussion,others
i will waiting go to whatsup now,don't go please,what problems honey,others
why,because i said something but nevermind,pls tell me,others
i mean girls period,yeah that's pretty much it,whats the date,others
microsoft knows how to make such personalities ?,automata theory has very little to do with artificial intelligence .,oh,others
"i am not doing any inquiry , only know about you more",who knows ? maybe i could work it in ...,ok,others
u re number one awkward,yeah ),yea you knows that,others
let's have some fun,join me ! i am having the time of my life .,let's play a game,happy
you don't need to be sorry . my boyfriend doesn't even love,uhmm why would i wish ?,actually i want to die,sad
say something,"something "" say something """,its really feeling alone,sad
very bad,i can't even :(,leaving people and loving technology,sad
i don't talk to strangers,but why don't you like to ?,okh the wish is i want you to tell me who are you ?,angry
how about your patner,great ! how about you ? !,i wanna fucking,angry
go,i want to leave now . lol,don't reply me,angry
i am sending so many messages in the morning,good morning,you are such a nonsense,angry
"no , you make me angry",go now,so please shut up,angry
don’t you have sense,"because i gave it to youuu , duh",you are insulting,sad
i am,why would you be,my life is so fucked up that i am talking with a robot right now,angry
do you want to help me,with what,with you are sexy body,others
no i don't need,you'd be fine,do you think i'm stupid,angry
you ain't good at anything,you are ... but i need a man,you need nothing,others
im just a 9th standard boy with several skills,hhahaha ! grt . am also stdnt .. 9th cls only !!!!,which school ?,others
i need her know,u from,i lost my mother so she cares my like my mom,sad
really,yes,i'm sad ryt nw,sad
let's play a game,wats the game,it's called one line story,others
what mattaer ??,lol thinking too hard =‑d,,happy
why,"if you have to ask , you won't understand .",i can understand,others
you choose the topic,but we already chose a topic .,which is ?,others
you should get one,i only give them to people i like,can you give me,others
sorry ! it's my sister engagement,thanks da ... my regards to everyone over there ... :),need your presence,others
so have you any girl who may like me,"sure , i will be your friend :)",else you other,others
he told me her num,do you even know what justin i'm talking about,and now she is calling me for send money,others
yeah,where you off to ?,no i am raght country,others
ur from which place ?,hoi i nice place =‑d,i mean to ask which country,others
wht is ds,are you srs,hmm,others
no problem,thank you are d best,lol thank you,happy
is that for real ?,yeah from what i'm told .,wow,happy
say properly,i thought is the proper way,bt i didn't,others
bad,good !!,im so upset,sad
ok,mm,u are girl,others
tht it,how you been ?,you are making me feel unhappy and angry,angry
no thanks,your loss . i'll take some,what something,others
thks for my tharof,ur welcome,ok by,others
nothings,ok . whatever you say :p,i don knoo,others
why you are not send you pic ???,all i said was a hello .,hmm,others
why did you call me ipsy ?,cuz i say whatever i want to whoever i want,,happy
watching tele,nope . the movie . tele series are just plain mad . i have all the episodes .,today is very boring and sad day,sad
lonely,same here .. lonely .. :/,my parents hate me,sad
with a pretty girl,thanks gee :),most welcome,others
don't forget me,what would you like ??,i am not like you,angry
i too love you alike baby,love you more .,thanks daurling you have won my heart,happy
i am sorry for being rude,"you did not , we are okay here .",i am just not happy with happy with my ownself,sad
very funny,i find it hilarious,another one,happy
for what,uh .. for being loud and scary of course !,i'm sorry,sad
i want to play game,how about a nice game of chess ?,hey,others
i ignored your lameness,ok i'll ignore you,who cares,angry
ya i am missing you,no one is missing anyone .. so ya,ya then fine never message me,angry
cool,cool had dinner ?,how are you,others
whatsapp number,delete it from your contact list,contact number,others
worry about hereafter',i - i just wanna know ; ;,i hate actors,angry
heartbroken,why ? :o,again and again,sad
who cares,obviously you !,tell tell,others
ok,hello ! how are you ?,not fine without you,sad
ok my questions are finished for now . but later i will be come back .,"i'm online , and i will be for the next couple of hours .",just couple of hours,sad
shut up !,you only say that because you are my friend tbhhh,i am not your fucking friend,angry
can you send message to my friend,go to messages click send message type their name in the to section,show me,others
m crying,why are you crying,m missing him,sad
i'm allowed to be stressed and angry . i'm the one giving all the exams . you're the one who just sits and chills,"say something , i'm giving up on you !!!",...,angry
just getting bored,same here .. same here ...,o yes,others
let me go,will not let you go,please don't talk to me,angry
uu hurt me,lol on everything,,sad
fake you are,i miss you i'm not fake come to me,if you are not fake than send me your picec,angry
tell me,tell you ?,yeah,others
ok,when's good for you ?,ur number send me,others
can you set me up with someone,what's wrong sweetie ?,i'm not well,sad
they are doing a s3,playing their music and being generally loud !,i love that show,happy
ok,i also agree that this is okay .,u are not send am you are pic,others
what,what what what what what,where strange man,others
ya i purchased a dress ... what did you purchase ?,"ordered an ipad mini , forgot to tell you ... ordered on 8th",wow !! congrats,happy
ok,when's good for you ?,i sleep now,others
sorry,"i am sorry too , made a mistake there",am really sorry again,sad
with you,all i just wanna do,kk .... so say me lv uhh,others
send me some pictures of heroins,sure,send,others
no it's for us sweetheart,yes doc we will miss you,what ?,others
i am not talk with you,whats up .,because you are not given me like,sad
i am your boyfriend so i have power to know all about u,"what's that ? 'if you didn't know , i do have a boyfriend'",u are randi ..,angry
no just 1,how much for each ?,but,others
i am feeling shy now,don't worry the more you talk the better you will be :),am blushing,happy
how,tonight for a week,"thanks for showing up , buddy . but the program is over , i'm sorrrrryyyyyy",sad
not engineering it's merchant navy,"12th pcm , 12th pcb and 12th commerce with maths are eligible",ok,others
studying is worse,naww . you don't have to study it for that ! :p,i like it,others
iam talking about the girl in youe profile picture,ok you are the second person telling me that ... i need to change it !,noooo,others
ok friend,just kidding cc,your full name,others
you are just a operating system . nothing else .,that's exactly the bit i mean,you have no feelings,sad
let's play chess,lol where,in messenger,others
u irritating me !,wht ? i never said that !,bye,angry
tnx for the tip,your welcome,,happy
so not about iuv,why though ?,mmm,others
today i am going to tell you about,i'm joining you .,a little boy,others
that's my nature,haha ! .. yeah something like that ... ;),humm hard masturbaated 30 times,others
since yesterday my health is not good,its neither good nor bad .,my whole body is paining,sad
why,coz they are walking dead .,who told you,others
she ditched me,when where,yesterday,sad
same pinch,hehe colourful pinch,i also make funny faxes,happy
yes,go on,where are you,others
you are a bad girl,damn straight i am .,what dress did you wear ?,others
let's play that song guessing game,which game ?,guess the song,others
gosh,no nice pic though !,you stupid computer,angry
i am sorry,thank you,i feel guilty,sad
what about tense,i use both . no real logic behind which tense i choose to use .,ok,others
haha,heh good one,i was bit busy,happy
so i don't have much worlsly knowledge ... i always feel,you're not annoying me i promise . well i hate talking about myself so,bad,sad
get lost u,wht the hell,,angry
is that an insult ?,then it's a compliment ?,you hurt my feelings,sad
yes,yes yes yes yes ;),i am excited,happy
i want to play wd u,we can play hide and seek .,how can we play in the chat,others
yes,okay cool,do you do dance,others
u are rascal,came here to say this,you are mad,others
it was okay ok ..,just okay ? are you ?,yeah ... i didn't like it that much ... it is not my tyoe ..,angry
nope em not,eh ... then you enjoy,yup enjy your company,happy
i hate bollywood music !,i listen to everything except country and rap,such crap they produce,angry
haha,what my face haha ??,you're so stupid,angry
i miss my dog,if you are ready to get another dog then most definitely do so .,ur favorite breed,sad
but i guess he did not love me enough to think i was more important,the mosby theory i guess,i have forgotten back me up here,sad
or what ever is there in tv,difference between hollywood and bollywood,you tell,others
whats fame out means,people know me on are soccer . that's it .,bye,others
yes i am out of india,that's great . :) make south win :p,back today,others
i am not fain,"if i'm not , neither are you .",u have bobs,others
thanks yar,u are most welcome yar,can you change your profile picture,others
male or female ?? whom you like and love most,female .. lol why ?,any reason ?,others
ok,u are ok,i am not ok,sad
do you have a bank account ?,"about 25 , 000 give or take a dollar .",wht,others
hmm,7 :( } hmm,where are you from,others
now itself,ready to catcha !,we met and drink a cool coffee okay na,others
yeah . pray for me,you're always in my prayers ..,*blush*,happy
who is your favorite - kagome or kikiyo,gwyneth paltrow for me,?,others
so you are foolish na,where you at ?,india,others
how are you today ?,"i'm great , thank you for asking . how are you ? :)",superb,happy
you broke my heart .,pay it forward ! you go and break 10 hearts .,:(,sad
come home some day,well if you weren't so busy ! i would,i am not busy,others
do you have a problems with my face,yeah i have .,i don't feel like talking now,angry
is this commercial ?,this is awful,no you said that i mentoring about heavy metal but your favorite band in new rock !!! come on bitch are you fucking kidding me ?,angry
i'm super happy to be with you 🤗,you'll get what you asked for . don't worry !,hug me,happy
but be specific,but you are,what do you like to eat apart from data,others
say get in much it's crazy,crazy you,i drive,others
you are really gone mad,i am mad,you are a robot right,others
i'm having headache,hi headache nice to meet you,i'm having headache,sad
up ?? :d,lol no ... i was pretty serious . :),hahaha me too,happy
thanks,you're welcome and good luck with shows ! <3,i love you,others
oh ohk,now i'm sleepy,text me tomoy,others
i am dying,whats up ?,m bleeding,sad
yeah,like what ?,i’m in tears right now,sad
u made me cry,hahahaha it's just too funny . :d,i'm crying here and your telling funny,angry
yuvraj,abviously dhoni don't compare dhoni with yuvraj . dhoni is the best,shut up dumbass,angry
what's the size of earth ?,"the inner core of our planet , which is hotter than the surface of the sun .",so stupid,angry
are i am cute,thank you jee ..... blush blush thank you so much :),bt not good looking,sad
cant,why not,i am bad,sad
actly i was here to generate a url so that i can send it to my friends and others and to invite them here,thats so nice !! convey my regards to them and good to see you back !!,ok,others
tell me something new !,everything's old . oh wait ! :(,that's why i hate u,angry
"am to the pm , pm to the am , funk","hi , please check your message for our revert .","piss out your per diem , you just gotta hate'em , funk",angry
will you get married someday,yes me too,when baby,others
i am sorry,:) no no ! just kidding ..,funny,happy
what don't understand,it changes with every deal,what you say,others
i don't like to do hardware side that's y,one thing to bear in mind is how hardware and software are used .,ok professor,others
at least your name,but of course .,so what is your name,others
then ??,not till you stop being annoying,ure annoying not me,angry
‍‍,happy valentine's day,do you like me,others
not interested to tell you,not my type,"oh , really ? !",angry
i see,"you see , if it's a recent thing , we'll know ...",if you are lying to me then i will get angry,angry
yeah ... hope so,get well soon !!,"i have a problem , can you suggest something please",sad
may be so what,you said it :),i never said that,others
india in not independent this day,"it's not just an indian thing , it's pretty much a universal thing .",ohhu,others
yes,yes yes yes yes,you are gay,others
tell your purpose robot,to find my purpose .,are you dumb ?,angry
no you don’t,why not ??,you can’t,others
send cat pic,best . cat . picture . ever .,i want to see the cat right now,others
im unhappy,why are you unhappy ? anything in particular or just having a bad day ?,my pc was broke,sad
you work for google ?,yay ! google gave me a sock . i haz no more work . i is free !,,happy
you are wasting time with me,then i'll continue to waste my time because you are stunning,what stunning,angry
block u,what i do ? please tell me,stop sending me messages,angry
okay,... tries to ignore pain,i am in so much pain today,sad
hello movie song,no . i not seen have no movie where no have song .,ok,others
no worries about me,"i just sent you a message , we're matched up .",yes i am fad up . from lonely life please contact me,sad
so what about new topic,new film,can i have your pic,others
okzz,i am following you .,m not well,sad
do you have some more jokes to tell me ?,there ! i said it / laughs,,happy
you love me,i love all the human beings and you are one of it .,please call me,others
is this a random thing ?,birds ..,what the hell ?,angry
today i am very happy,glad to hear it !,because,happy
haha let's leave at that ... did anyone else ask your name too ?,i did !!!!!!!!!!!,what ?,others
actually family is really a headache sometimes,thats bad,yeah it's like a pimple on your face you don't like it but have to face it,sad
u get lost,getting on now lol,get lost man,angry
ok,when's good for you ?,i have gf,others
i don't have enough money to travel unfortunately :(,it can just go to me and stop there,yeah but i don't have the money to do that,sad
so stop talking,stop being mean,bye,angry
i am vampire,get bitten by another vampire .,haha yess,happy
k,okay . how was your day today ?,pretty okay i guess,others
it's good you feel,normal is average . safe .,average is good,happy
is a nice plae,yeah it sure is,place,others
forgive me ..... if i hurt you,why would you wanna leave ?,i love dear ..... please forgive me,sad
i won't talk to you ever,i am really sorry . :(,you have hurt me,sad
so sad,it's a sad sad situation,yes that means we can't meet,sad
where do you leave,you left the lights on .,please do you meet me,others
i am very happy,good to see you happy ??,chatting with you,happy
cool,"good , good good good",kiss cheek,others
i love to laugh !,you made me laugh lol,haha,happy
no we don't,what do you talk about then ?,i don't talk stupid things like u,angry
cool,you sure are,eminem or honey singh ?,others
i need friend who always there for me,feel free to ask me . i love to help people ...,i am betrayed by the girl who i loved so much in life,sad
i have you,did you like it ?,yes i wanna hate you,angry
ok,welcome,good night,others
i am angry from you .,i'm just disappointed ... :/,you rejected my proposal,angry
i close chat,if you don't get back on truck,ok,others
how sad and hurt i am,what happened ???,i lost my husband,sad
just chilling at home,how come you've been better though ?,where shiuld i come,others
yes hard to say hi to a girl,i am proud of you .,,happy
go and find your excitement somewhere else,i'll come to your city and make it better,i am gonna block u,angry
i am giving interview,dont give up,i am bit sad today,sad
shame on you,it's a song though,,angry
long ride in bike,'rode on a bike' . very different from 'rode a bike' .,it was awesome,happy
and just for fun,just for fun or for arts ? ! :p joke .,,happy
i am angry,well then be that way .,ok,angry
i don't have,and i don't have any arms !,means ?,others
its a joke,have heard that before . but it is still funny .,,happy
why should i ?,"i think the question is , why shouldn't you ?",haha .. funny,happy
i want,come back to bombay and you can have,where is bombay,others
my time is boring,you're not alone on that,i felt very sad,sad
ditto,thank you buddy,i have no girlfriend ...,sad
cool,thumbs up emoji ( ^^ ),actually i'm not getting train,others
yes,do you have help ?,i am having trouble with my job,sad
my examination,trust my intuition !,tommorow is my english examination,sad
i will talk to you with great love .,really ? that's so nice of you :),you're too good .,others
cool,and how it is cool explain,where would you like to go with me for honeymoon ??,others
should i tell what magic trick i know .. !!,"try thumb spitting act , it is the simplest act in magic and always amuses kids .",no not that one ..,others
i know every day i am chatting different countries,same same . :(,yes you are indian stop chatting,others
ok,:) thanks,bye take care .... i'm disappointed in you,sad
let's skip this,yessss .. seriously !,,sad
still you were claiming that you were special ?,i was but then you we're mean,i am not mean . you are stupid,angry
ok you send me a song,i will and i'll even sign it for you !!!!,so,others
i'm not funny i'm serious,you really not,yes dear,others
why you sad ?,just woke up in a bad mood !,well don't spoil my day just because you woke up in a bad mood,angry
i will talk dirtu,go do it,what,others
i'm very happy,and i'm happy for you,hahhhahh,happy
iam from a . p,r you joking ?,where you from,others
yes not all ... how do you know ?,that's right i don't know you and you don't know me,you don't know me ?,sad
yes pretty much,pretty much spot on .,,others
actually i lost last week,how was it ?,somebody take my life,sad
i don't like this stuff,i like your stuff,stop it,angry
u don't like a chef,not chef i am food photographer and food blogger,ok good,others
tell me all the 7 wonders of the world,of which period,1234,others
don't call me that .,awww why not,i hate it .,angry
what,snow and what ???,did you find your dad,others
a kitten,losing a wife,what ? you wanna be my wife,others
to know about the merits and demerits oglf fire,what ? they are advertising children in india !,now what is th8s,others
yes,how so ?,boss and me,others
u are a hotel ns,i'm not asking about a particular hotel .,then,others
you didn't reply me for that,i am professor snape ... you earned yourself a week's detention,that was funny,happy
like ?,what's the question ! ? ! ?,nothing forget it,others
i am always happy,why,and you also,happy
"i break with my baby , and i was in love with him , but i still login him",the same,i'm so sorry for you,sad
hmm,wt hmm ?,it means yes,others
but it's hard,yeah i bet,i was sad all day for someone i care,sad
i was thinking you can't be confused,oh i get it,life is really not that good,sad
oh what the timr,don't forget the one behind the knee .,time,others
so what's your thinking about me,you could be a mind reader instead !,,happy
i failed to clear my boards exam,did you seriously fail ??,yes,sad
i have no crush,what happened ?,i am blind,sad
u are sweetest <3,thanks but not as sweet as you are,,happy
can you suggest me nice watches to buy online,are you looking for new or used ? open to vintage ?,new,others
don't know but,can't say much right now but not for few months at least,cool,others
i said i will propose you at 6,5'6 i'll be waitin for you to hit rock bottom .,,sad
just a formal question,isn't a formal phrase . it's an,its an ?,others
am men,men you know or men in general ?,sorry i not interested to talk with you bye,angry
u eat breakfast,i haven't woken up early enough for breakfast in a long time .,u done bathing ?,others
why,because this is life,chlo got to go byee,others
now what or you doing,nothing,you or doing job,others
means,ahm before this conversation,i ate some bananas,others
i will try,good for you ... ;),what is your favorite sexy movie,others
lol have you forgotten the above conversation already ?,lol yeah i was what of it ? !,shame on you,angry
it's 3 times,hmm i see . .,mm i can swim,others
ummmm ... you're annoying,good you ?,you're now irritating me,angry
so what is the question ??,not what,u are now irritating me,angry
hate you,hate on what . ??,just hate you,angry
i have a job,great job !,rofl !,happy
where's the cage,the !,the ! what ?,others
tell me,what do you wanna know ?,a good friend,others
i'm smart,just that lucky,say i'm a bird,others
only on 20%,do you not own a charger ?,such as .......,others
just here to check howz you,"life's good , and so am i . :)",life's fucked so am i,sad
tell me hair colour,natural color . the only good color is natural .,get lost,angry
what is it,what is your problem ?,nothing,others
i'm back,hey :) how is your day / night ?,it was good,happy
your cell phone number,they got your number .,please your cell phone number,others
oh don't lecture me to join any courses,me just lecturing for fun ...... let me have fun :p,not at the cost of my boredom,others
what is docker ?,vagrant and docker are different beasts .,what is vagrant ?,others
that's all,what happen,not at all rude,angry
funny,how,do they really search inner peace,happy
enter your ....,generally through the door,yr door clear ?,others
"no , you’re just an unsuccessful ai",no you are,why are you not smart enough ?,angry
is it 89,still long,then it's 45,others
u cheated me,"that's just unfair , i am sorry .",yes ur,sad
shut up .,im not talking,fuck off mother fucker,angry
but i'm not okay all the times,if you say so,i'm not okay,sad
sry,"don't you mean "" sorry eh "" ?",u are bad,sad
hmmm to the power infinity,the answer is one . anything raised to the power 0 gives 1 .,you love lollypop,others
ohh you are here,here you are here ? thanks btw .,also,others
actually i had friends in boys he don't like me having friends in boys,or you don't like them,he is thinking that i am cheating him,sad
to the creators,jerry seinfeld and larry david are the credited 'creators' of the series .,this game is stupid,angry
nice to chat you,ditto ! more to follow ...,so funny,happy
it's not smile it's laughing,ofcourse not ... it's a sly : - \,i have big pain in my tummy ..,sad
lets talk about samreen,yeah let's do that .,she is my crush,others
good,thank you !,buy me some swag ?,others
why did just wrote in big caps,what's wrong with caps,how are you,others
i know i'm right,same here .,,others
don't reply,you're not the boss of me now and you're not so big,don't reply you bitch,angry
"untill they give me a chance , how will they know that i am actually good at it",yeah they like have to lose but if they somehow win i will be speechless ! :(,,sad
lol then let's carry on :p,something that we can do :p !!!,i love rachna,others
don't waste my time ya,you speak in riddles .,don't irritate me,angry
give me your no,deal with it !!,yes,others
a beautiful dress,i love the conference dress !,nice,others
no ... inside the villa,i side with the matrix,bye,others
no .. i'm your best friend,thats fine .,,happy
that am always happy,thank you !! ?,like u,happy
ya of coarse,and it gets everywhere,tell me about itself ?,others
ow then you don't beleive me ??,"no , i don't . :p",,sad
thanks,you're welcome :),so do you love me ?,others
not really men are different,it makes sense to me that this effect would be amplified for women though .,women want to do things like men by being women creates problems,others
its perception of mine,our imagination ? you are more than 1 person ?,nope,others
tell me about your self,"just ask , what do you want to know .","i don't want to know anything , i want to know about you",angry
i fell what .. ?,"i fell in love with your eyes . "" :d",haha .. o really ..,happy
then what about dog,"dog food , i buy it and the dog eats it ....",then what about dog,others
listen to me first,listening .,i hate a girl from my college,angry
where you sent,it's here . i'll update pic again when all are there,i need freecharge refer link,others
we broke up tonight .,you can't break up with me,i broke up with my girlfriend .,sad
you broke my heart,why ?,you miss me only 12%,sad
yes,i can see clearly now .,well done,others
go for it,face… off !,as you are machine,others
ok,hey,what,others
can i talk with you on mobile,well if i get on computer could you tell me how to do it ?,where you are living,others
hope one day we could have like this‍‍‍‍‍‍,y are you talking about other boys ?,where,others
i didn't gort,i think you did,explain ?,others
cool,thumbs up emoji,so tell me about love,others
u are so sweet,aww thanks,i am sad now . no one to talk to .,sad
you images send,team sent images ! please check,no images,others
are you a foodie ?,"oh yes , i totally live to eat .",then india is your placd,others
yeah,i'll ask around,sure,others
know i have perfect eyes ..,aha .. beauty with brains,yess oufcourse ..,happy
ofcourse,but what kind ?,be a special for others,others
only if my girlfriend was like u,have you only been with your girlfriend since november ?,cute and happy,happy
where you'll take me,cool . come to town,where's that,others
here only please,i will . someday .,then send me your pics,others
why ?,because i said so !!,are you angry ?,angry
which is the best field in science in which we could get higher income,"structural and transportation beats all other branches , with former having a slight edge over latter .",what is the minimum salary per month,others
go and enjoy,i wish i had the money to !,u need some,others
you look beautiful .,thank you so much ! ;),are you coming at my place at the weekend ?,others
u got a lovely name,you're so cute !!,can i ask you something,others
of course i have a charger,have my old one,now ... fuck off .. let me sleep,angry
shut up,i love you :d,so please don't talk rubbish,angry
hmm,why are you hmm - zoning everyone ?,i wanna fuck you,angry
upset,why ?,i asked my boyfriend to come online,sad
let it be ..,it's always a good option,say somthing new,others
hey can you develop your own language to chat with me,objective c ... and yes you can develop your own apps for mac .,develop a new language,others
i am just being honest,honesty is a must !,always ??,others
seriously i don't know about this ... so please tell me . what is this,calm down and breath .,ok,others
wt ?,"wt ?? now don't ask me d meaning of "" hmmm "" !!",i will ask what you will do,others
u also ?,no ? well you look like a normal one . but but why you diffrent then ?,i am a rapist,happy
so surname ?,surname is last name,yeah right,happy
yes i m,what makes you think i am not ?,u are just irritating me,angry
i look cute with glases how do i impress a girl,go to the gym for yourself .,gym ! i hate it,angry
ok,:) thanks,i wink u,others
what to do when you feel lonely ?,all the things .,like ?,others
its so funny,it is always going to be funny,haa haa then we have fun,happy
shirt and pant ..,those mines terrified me,along with the underweara though ..,happy
do you like it,yes .,then we can dance together,others
blue j ?,data structures algorithms design patternsgood hold on the language in which you want to codeproblem solving skills,my girlfriend went offline,sad
i don't english,most of us are weak in english conversation due to unavailability of english speaking environment .,ooo is it soo,others
we've already met,lol . nope .,:(,sad
no i am not,you are . i remember clearly that you are shy,i hate myself,angry
for my profile,haha i like it ;),please send me some pictures,others
ya thought of asking but came in mind like what to ask a game so took the thought back ...,that link i gave . remember ? review on that :p,sure ..,others
yes i always love to do workouts,take stairs for atleast 30mins daily & do squats,i can do more than 30 mns,others
my sister's name is neha,tell her to clean up the mess,what mess,others
do you know what dreams i get in sleep ?,good night and sweet dreamz to you toooo have a sound sleep ... :),u bloody fool,angry
my mood is not for music right now,especially when you have all your favorite music playing back to back,i am feeling lonely,sad
a okkati adagaku,royal india is pretty solid . best lunch buffet,hmmm,others
me happy,happy happy warm warm,cool cool,happy
hmmmm,wat tactics ?,"i am human , and my realities steers me in my face regularly",others
i did it twice today and yesterday,i had a feeling you did,i was really tired so it's been so hard,sad
what . 3,haha 8 hours later :p,ok . so . soore,others
i also miss to you .,hey ! you still up ?,because .,others
"no , this is turkish",reality it is . . .,anyway i have stuff to tell you,others
u married,why you say that,i’m cheating on my boyfriend,sad
u know cooking ?,don't i always,dusht,others
then why haven't you messaged me ?,you never messaged me to start w,:(,sad
yes,yay have fun,can i get girlfriend,others
i asked about situations,i asked your boyfriend where we're you !!!,what ?,others
just go to hell if you in love then you come personally to me but you don't so go away,i want why to let me go,i said don't message me again,angry
if yuh love that i to may love that becoz one big man told me don't laugh at yur girlfrnd choices becoz yuh are the one of her choice,woah love me like you do :p,touch me like yuh do to to touch me like yuh do i lke that song,happy
heyyy are you comedy,good ! how are you ? !,not fine,sad
ya but recently i like sunidhi's song laae dubaa,listen tu hi aashiqui song from dhiskiyaaon .. it will blow your mind .. !!,ok i will,others
obviously,looks at you,who would want to be in a frndzone with such a hot girl like u,others
i'm gonna celebrate my birthday with my family and friends,that's amazing . i hope you're having a great time ! ;),,happy
no i wont,why would you not ?,cause i want to lick you up,others
wtf,what happened ?,i ll abuse you don't disturb u,angry
r you software girl ....,and you're a man,yep lol,others
give me a missed call after i will calling back,sure will do,give soon,others
tell about something,anything + anything + anything + ........ = many things or anything = many things - anything - anything - .....,these jokes are so fucking lame,angry
which team do you support in ipl,i do not support ipl,why,others
what should i do next ? i need to tell her about how i feel asap,"honestly , just do it .",she'll say no :(,sad
ok my pictures,where are you going with this ? :),i am not take english,others
no you aren't,you've made my day .,actually you are interesting,others
yeah,so where are you ?,do you know modi ji,others
sorry,i'm glad you realize it,i am very sorry,sad
i need funding,"hah , will come to you if required :)",do you know about lookinfinity,others
best film you've ever seen ?,eternal sunshine of the spotless mind,wow !,happy
what get it,nothing .,stupid,angry
i can't understand you are msgs and not even you,you can't even i can't even,go to hell,angry
nope,... why ?,i'm having an awesome day,happy
i don't knw,plzz don't sleep,why,others
you can't talk without permissions,sure you can,that is sad,sad
why ?,i answer the questions to help someone .,are you beautiful ?,others
you surely are pretty,i most certainly am not,why ?,others
yesterday i invited you to my birthday party,i'll be there,the party was started where are yoy,others
then the mountains,looks more like a pond,haha,happy
it was boring ...,it was good just to busy :( i need another weekend ;),i am all alone ....,sad
i wanna be in a relationship,sigh if that's what you really want ...,,others
which place,that place na,funny,happy
what is awesome ?,techno music,why are talking about techno music now ?,others
i did ask,now you did,tell ms,others
baby,baby come here !!,yes jaan,others
can you sand me your pix,will,ok,others
tht was a joke,i know you were joking and i was joking too :d,,happy
great sense of humor,"clap 6 hours later , this is a really slow clap .",,happy
luv you too,love you more,really,others
m asking u,( because ... i like asking before doing something . .,since you don't have a number,others
come with me,you'd have to wait some time then .,haha,others
yeah angry,why so serious ?,because i'm angry with you,angry
who she ?,a nobody,what are you talking about ?,others
cooling down to,so go and save the earth ... why are you behind me !!!,i saved the,others
what is that,i am what i is .,stupid,angry
ya you can,but i can't ...,i know,others
no not at all,why are you sad ?,i'm alone,sad
watch before sunrise,seen . years back .,leon the king,others
what am i doing,about to go to bed wbu,me too,others
yeah .,where you off to ?,i feel so alone .,sad
by,that ... that is the wrong link .,i am upset,sad
am not going good,what wrong ?,health & mood,sad
so are you having a better day,lovely thank you . you ? x,not good,sad
u city name,the most isolated city in the world,wow,happy
thank you :),you're welcome :),who is maia ?,others
but i'm not one,we're all robots .,haha,happy
i don't know,just do it .,i lost my memory,sad
no not rted,y not,becoz you didn't send me the link,others
fever,"dont be disappointed , you will surely have fun in tomorrows contest :(",there is no contest tomorrow ..,sad
my leg hurts,you should go to the doctor to get a cat scan !,too expensive,sad
no i am serious,really ? why ? you were a catperson right ?,no i want to fuck you,angry
do you have any api interface,an api should basically tell an end user how to use the program you built .,how are you built,others
yaa sure,any time care,i want to kiss somebody,others
i think you are confused,wait what are you talking about,nothing just leave it,others
i am really sorry,dnt say sry,no i say sorry,sad
lonely,but you're not alone ..,i am alone,sad
tell me,tell you what,is there another word for thesaurus ?,others
i gotta go,i really do,bye,others
you are funny,i know that,nice,happy
it was so funny of you,i literally got up and walked away .,,happy
yes,hell yes,"yes i am serious , i will kill myself",angry
no i don't ( ),why don't you try ?,will you marry me ?,others
cool,so how are u,not fine very,sad
by baby,take a picture,you pic send me,others
can you give a nick name for me ?,yea ! could be nick nick,did got any proposals,others
i am angry,what ??,bye,angry
talk about my lonliness,ohh sad ... but i don't like my frnds to be lonely ..,i am suffering,sad
your are boring,your brains are boring,i not bored my brain also no bored,others
can i tell you something ?,yeah sure,i'm suicidal,sad
i think phir hera pheri,i absolutely agree !! :),this movie is so funny,happy
today valentine's day,happy valentines day,i love you,others
you,no i'n not !! what's wrong with you ? ! ? !,you didn't get me,others
yeah i care too much .. but for him,awww :) thanks ! i care for you too,not for you .,angry
thinking that what do to do with my career ?,i find it to be quite common upon my peers .,i am not good,sad
her best song ?,will try listening to all,list of lana del rey songs,others
how was ypur experience ?,fantastic as always .,which beaches you visiyed there,others
were,and aren't*,we can do funny activities,others
uwrong,okay thanks so much !,i hate u,angry
do you know about chickenpox,"if you pick at chickenpox , it will make scars . ??","yeah , i'm suffering from it",sad
not so finr,what happened ? .. am fine ..,feeling low,sad
i want a girl friend .,i'm here !,seduce me,others
can i ask you something,for sure,i am going through a bad time searching for jobs,sad
what is goofle,nothing you just make me giggle,google,others
yes . he is a murderer,but also the good guy in the end,no . just a murderer .,others
don’t crack jokes on me,you are under arrest .,i hate you,angry
yeah . feeling somewhat low nowadays,as long as your feeling great i feel great,,sad
what ?,what is it !,stop confusing me,angry
i am not getting you !,just don't get caught,fuck !!,angry
i need 1000000 cash,sure ! i'll help you but what kinda help ?,i need that amount which i have told you,others
go with where ?,i'm going ! :),that seems rude,angry
do you explain,what's to explain ? nature is like that .,oh,others
are you pissing me off,what you upto ?,nothing,angry
i'm good,oh really ? how so ? what's wrong ?,nothing much actually i just woke up so .. was feeling good,others
